Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
hip_act,2.21389571031239E-06,0.0495282516972576,8.39857004455852E-05,0,0,0,0.459454762759501,0.000423377170076193,2.8536168918093E-09,1.66725551719757E-07,0.000785413648057675,6.36782987510134E-07,0.000423371017574567,0,0,0,0,0,0,package://Slider_design_URDF/meshes/hip_act.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Slider_design_URDF/meshes/hip_act.STL,,Actuator_assem modified-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
c_bracket,-1.29530993199095E-05,0.111883797615742,0.000189172262231113,0,0,0,0.194139827709801,0.000246157573305323,3.72214937106365E-08,-1.72161412318965E-09,0.000261154757408066,1.38657104435418E-07,0.000187909477330244,0,0,0,0,0,0,package://Slider_design_URDF/meshes/c_bracket.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Slider_design_URDF/meshes/c_bracket.STL,,c bracket modified-1,Coordinate System1,Axis1,joint1,revolute,0,0,0,0,0,0,hip_act,0,1,0.0017503,0,0,0,0,,,,,,,,
actuator2,0.0105283228345422,0.173996856485628,0.000302488432371351,0,0,0,0.459454762835675,0.000785414768017504,-4.19395763700288E-09,9.56126475950033E-10,0.000423518637700238,-7.95363557319889E-08,0.000423228429945512,0,0,0,0,0,0,package://Slider_design_URDF/meshes/actuator2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Slider_design_URDF/meshes/actuator2.STL,,Actuator_assem modified-2,Coordinate System1,Axis2,joint2,fixed,0,0,0,0,0,0,c_bracket,1,0,0,0,0,0,0,,,,,,,,
connecter,0.0627092553320165,0.173999733455809,0.000304560844391982,0,0,0,0.136163779993279,0.000121813380866596,1.00079467679243E-20,-6.33249941812088E-20,6.99270541952128E-05,-1.21893335065814E-20,6.99270541952126E-05,0,0,0,0,0,0,package://Slider_design_URDF/meshes/connecter.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Slider_design_URDF/meshes/connecter.STL,,hk_connector-1,Coordinate System1,Axis2,joint3,revolute,0,0,0,0,0,0,actuator2,1,0,0,0,0,0,0,,,,,,,,
knee_actuator,0.128528322762866,0.173998136399464,0.000307615778510642,0,0,0,0.459454760456948,0.000785414767905145,-1.38981028699211E-09,4.07330041056379E-09,0.000423233072333788,-8.66190720298778E-08,0.000423513995230647,0,0,0,0,0,0,package://Slider_design_URDF/meshes/knee_actuator.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Slider_design_URDF/meshes/knee_actuator.STL,,Actuator_assem modified-3,Coordinate System1,Axis3,joint4,fixed,0,0,0,0,0,0,connecter,0,0,0,,,,,,,,,,,,
slider_1,0.165994134888996,0.186648087099041,0.00675729634447775,0,0,0,0.0227075461559264,2.96121867175513E-05,-1.68453705142746E-09,-8.59390268464536E-10,9.49452273118413E-06,-6.07578783365056E-06,2.01781270923127E-05,0,0,0,0,0,0,package://Slider_design_URDF/meshes/slider_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Slider_design_URDF/meshes/slider_1.STL,,Part1_conn-1,Coordinate System1,Axis2,joint5,revolute,0,0,0,0,0,0,knee_actuator,1,0,0,0,0,0,0,,,,,,,,
slider_2,0.165987300398336,0.253951550337511,0.00751531450347266,0,0,0,0.0349242700746139,1.85733821263333E-05,-2.18326723588575E-11,2.30082432360936E-09,1.50315683562167E-05,8.16472872166189E-11,5.08893328633733E-06,0,0,0,0,0,0,package://Slider_design_URDF/meshes/slider_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Slider_design_URDF/meshes/slider_2.STL,,Slider part 2.O-1,Coordinate System1,Axis3,joint6,revolute,0,0,0,0,0,0,slider_1,-1,0,0,0,0,0,0,,,,,,,,
driver_rod,0.166000000001709,0.253951476290993,-0.0627717062474898,0,0,0,0.0124305545034591,1.50372757561864E-05,-5.88975510889749E-13,-5.61932673548693E-13,1.50354065499985E-05,3.08428718897107E-13,2.06425194655713E-07,0,0,0,0,0,0,package://Slider_design_URDF/meshes/driver_rod.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Slider_design_URDF/meshes/driver_rod.STL,,driver_rod-1,Coordinate System1,Axis4,joint7,fixed,0,0,0,0,0,0,slider_2,0,0,0,,,,,,,,,,,,
slider_3,0.165916960910601,0.253951476273331,-0.139431905251948,0,0,0,0.0320888110192499,8.94036749817046E-06,3.07594929041129E-14,2.65157266553481E-08,9.58626733491596E-06,-1.06606465438949E-13,3.80755374502946E-06,0,0,0,0,0,0,package://Slider_design_URDF/meshes/slider_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Slider_design_URDF/meshes/slider_3.STL,,Slider part_3-1,Coordinate System1,Axis5,joint8,fixed,0,0,0,0,0,0,driver_rod,0,0,0,,,,,,,,,,,,
main_rod,0.166600000383349,0.105771688524635,-0.238325037022689,0,0,0,0.0383440611600698,0.000124089295700753,-1.25917589104066E-12,-5.27381427060724E-14,2.66871738526395E-05,-4.91889317270234E-05,9.92464413590262E-05,0,0,0,0,0,0,package://Slider_design_URDF/meshes/main_rod.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Slider_design_URDF/meshes/main_rod.STL,,leg_pt3-1;RUBBEER Part-1,Coordinate System1,Axis6,joint9,revolute,0,0,0,0,0,0,slider_3,-1,0,0,0,0,0,0,,,,,,,,
