Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link_stand,6.10622663543836E-16,0.000186556359450196,0.177272743445134,0,0,0,2.59347516998776,0.122430377729961,-6.64879419839934E-17,-1.79469805425288E-16,0.183325511805914,-0.000156144898123056,0.073945978938047,0,0,0,0,0,0,package://slider_design_URDF/meshes/base_link_stand.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slider_design_URDF/meshes/base_link_stand.STL,,holding_stand-1,Slider_coord_sys,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_act,3.32114702053521E-06,-0.0315283228576752,0.499999356474945,0,0,0,0.459454763928287,0.000423368997531344,3.15207899133932E-09,1.66528842531295E-07,0.000785414768163331,3.20271247011331E-09,0.000423378070299278,0,0,0,0,0,0,package://slider_design_URDF/meshes/hip_act.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://slider_design_URDF/meshes/hip_act.STL,,Actuator_assem modified-1,Slider_coord_sys,Axis1,stand_hip,fixed,0,0,0,0,0,0,base_link_stand,0,0,0,,,,,,,,,,,,
c_bracket,1.29531010331363E-05,-0.0938839573426781,0.499993336202208,0,0,0,0.1941398277098,0.000246157573305319,3.72184232659441E-08,1.78676211476882E-09,0.000261155018400834,-1.04515996147018E-08,0.000187909216337472,0,0,0,0,0,0,package://slider_design_URDF/meshes/c_bracket.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slider_design_URDF/meshes/c_bracket.STL,,c bracket modified-1,Slider_coord_sys,Axis1,hip_a_c_b,revolute,0,0,0,0,0,0,hip_act,0,-1,0,0,0,0,0,,,,,,,,
knee_act,-0.0105283228433629,-0.155996467737714,0.499999801595569,0,0,0,0.459454763368948,0.000785414768124536,-1.20110195093395E-09,-4.18264847211513E-09,0.000423231039952221,8.59167594152018E-08,0.000423516027817846,0,0,0,0,0,0,package://slider_design_URDF/meshes/knee_act.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://slider_design_URDF/meshes/knee_act.STL,,Actuator_assem modified-2,Slider_coord_sys,Axis2,c_knee,fixed,0,0,0,0,0,0,c_bracket,0,0,0,0,0,0,0,,,,,,,,
connecter,-0.0627092553303077,-0.155999999999995,0.500000000000004,0,0,0,0.136163779993279,0.000121813380866596,-1.11126012869145E-19,1.58157595894236E-20,6.99270541952128E-05,-6.81519276561268E-20,6.99270541952126E-05,0,0,0,0,0,0,package://slider_design_URDF/meshes/connecter.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slider_design_URDF/meshes/connecter.STL,,connector for actuators modified-1,Slider_coord_sys,Axis2,knact_con,revolute,0,0,0,0,0,0,knee_act,-1,0,0,0,0,0,0,,,,,,,,
slide_act,-0.128528322842186,-0.155997781822786,0.499997296994449,0,0,0,0.45945476329286,0.000785414768049983,-3.14528553173294E-09,-3.07860027929629E-09,0.00042337716722205,1.66719355801496E-07,0.000423369900477097,0,0,0,0,0,0,package://slider_design_URDF/meshes/slide_act.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://slider_design_URDF/meshes/slide_act.STL,,Actuator_assem modified-3,Slider_coord_sys,Axis2,con_slact,fixed,0,0,0,0,0,0,connecter,0,0,0,,,,,,,,,,,,
slider_1,-0.165994134887291,-0.168670165667458,0.506409800876571,0,0,0,0.0227075461559264,2.96121867175513E-05,-1.68744202738817E-09,8.53672135801245E-10,9.4534331925605E-06,6.03941429902899E-06,2.02192166309363E-05,0,0,0,0,0,0,package://slider_design_URDF/meshes/slider_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slider_design_URDF/meshes/slider_1.STL,,Part1_conn-1,Slider_coord_sys,Axis2,act_sl1,revolute,0,0,0,0,0,0,slide_act,-1,0,0,0,0,0,0,,,,,,,,
slider_2,-0.165987300392327,-0.236011570879544,0.50693946183179,0,0,0,0.0349242700670582,1.85733821282022E-05,-1.80568328873661E-11,-2.30085352135554E-09,1.50315418382489E-05,1.62362253121418E-08,5.08895980356463E-06,0,0,0,0,0,0,package://slider_design_URDF/meshes/slider_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slider_design_URDF/meshes/slider_2.STL,,Slider part__2-1,Slider_coord_sys,Axis3,sl1_sl2,revolute,0,0,0,0,0,0,slider_1,1,0,0,0,0,0,0,,,,,,,,
driver_rod,-0.166,-0.235896141474479,0.436652535858943,0,0,0,0.0124305545034589,1.5037275756186E-05,-5.89896962782277E-13,5.60965314368876E-13,1.50353666083867E-05,2.4337046111764E-08,2.06465136266972E-07,0,0,0,0,0,0,package://slider_design_URDF/meshes/driver_rod.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slider_design_URDF/meshes/driver_rod.STL,,driver_rod-1,Slider_coord_sys,Axis4,sl2_rod,fixed,0,0,0,0,0,0,slider_2,0,0,0,,,,,,,,,,,,
slider_3,-0.165968905240866,-0.235769905529503,0.359735993431928,0,0,0,0.0327017150775501,9.2770972112113E-06,-2.14206940806661E-12,1.32397826471156E-09,9.93886648494575E-06,9.96896051989336E-09,3.86478623890975E-06,0,0,0,0,0,0,package://slider_design_URDF/meshes/slider_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://slider_design_URDF/meshes/slider_3.STL,,slider_pt3-1,Slider_coord_sys,Axis5,rod_sl3,fixed,0,0,0,0,0,0,driver_rod,0,0,0,,,,,,,,,,,,
